source,target
https://www.merdeka.com/politik/amunisi-terakhir-jagoan-kim-plus-di-pilkada-2024-keluarkan-kartu-as-temui-prabowo-jokowi-228258-mvk.html,https://www.merdeka.com/politik/anies-ditinggal-ridwan-kamil-duet-dengan-kader-pks-di-pilkada-jakarta-177058-mvk.html
https://www.merdeka.com/politik/amunisi-terakhir-jagoan-kim-plus-di-pilkada-2024-keluarkan-kartu-as-temui-prabowo-jokowi-228258-mvk.html,https://www.merdeka.com/politik/said-abdullah-bicara-sosok-andika-perkasa-yang-diusung-pdip-di-pilgub-jateng-202789-mvk.html
https://www.merdeka.com/politik/amunisi-terakhir-jagoan-kim-plus-di-pilkada-2024-keluarkan-kartu-as-temui-prabowo-jokowi-228258-mvk.html,https://www.merdeka.com/politik/breaking-news-kim-plus-resmi-usung-ridwan-kamil-suswono-di-pilkada-jakarta-182977-mvk.html
https://www.merdeka.com/politik/amunisi-terakhir-jagoan-kim-plus-di-pilkada-2024-keluarkan-kartu-as-temui-prabowo-jokowi-228258-mvk.html,https://www.merdeka.com/politik/mantan-menteri-anak-buah-jokowi-ungkap-ruu-kejar-tayang-titipan-pemerintah-228121-mvk.html
https://www.merdeka.com/politik/pro-kontra-prabowo-subianto-endorse-paslon-pilkada-serentak-2024-232884-mvk.html?page=3,https://www.merdeka.com/politik/ndaru-habib-luthfi-dukung-prabowo-gibran-tkn-guru-sudah-kasih-arahan-wajib-diikuti-63620-mvk.html
https://www.merdeka.com/politik/pro-kontra-prabowo-subianto-endorse-paslon-pilkada-serentak-2024-232884-mvk.html?page=3,https://www.merdeka.com/politik/prabowo-kita-bersaing-tapi-tidak-saling-menyakiti-dan-memfitnah-pihak-lain-80998-mvk.html
https://www.merdeka.com/politik/pro-kontra-prabowo-subianto-endorse-paslon-pilkada-serentak-2024-232884-mvk.html?page=3,https://www.merdeka.com/politik/cerita-awal-mula-dan-alasan-prabowo-keluarkan-aturan-hapus-utang-umkm-232003-mvk.html
https://www.merdeka.com/politik/pro-kontra-prabowo-subianto-endorse-paslon-pilkada-serentak-2024-232884-mvk.html?page=3,https://www.merdeka.com/politik/amunisi-terakhir-jagoan-kim-plus-di-pilkada-2024-keluarkan-kartu-as-temui-prabowo-jokowi-228258-mvk.html
https://www.merdeka.com/politik/pro-kontra-prabowo-subianto-endorse-paslon-pilkada-serentak-2024-232884-mvk.html?page=3,https://www.merdeka.com/politik/ditemani-ibas-prabowo-tiba-di-acara-deklarasi-relawan-setia-prabowo-32817-mvk.html
https://www.merdeka.com/politik/pro-kontra-prabowo-subianto-endorse-paslon-pilkada-serentak-2024-232884-mvk.html?page=3,https://www.merdeka.com/politik/soal-video-prabowo-dukung-lutfhi-yasin-menko-budi-gunawan-tamu-datang-tak-mungkin-ditolak-232329-mvk.html
https://www.merdeka.com/politik/pro-kontra-prabowo-subianto-endorse-paslon-pilkada-serentak-2024-232884-mvk.html?page=3,https://www.merdeka.com/politik/prabowo-terang-terangan-endorse-ahmad-luthfi-sekjen-nasdem-beliau-ketua-partai-punya-subjektivitas-232764-mvk.html
https://www.merdeka.com/politik/pro-kontra-prabowo-subianto-endorse-paslon-pilkada-serentak-2024-232884-mvk.html?page=3,https://www.merdeka.com/politik/prabowo-ahmad-luthfi-dan-taj-yasin-dua-tokoh-yang-tepat-untuk-jateng-232162-mvk.html
https://www.merdeka.com/politik/pro-kontra-prabowo-subianto-endorse-paslon-pilkada-serentak-2024-232884-mvk.html?page=3,https://www.merdeka.com/politik/presiden-prabowo-terang-terangan-endorse-ahmad-luthfi-taj-yasin-rakyat-jateng-saya-mohon-berilah-suaramu-232066-mvk.html
https://www.merdeka.com/politik/pro-kontra-prabowo-subianto-endorse-paslon-pilkada-serentak-2024-232884-mvk.html?page=3,https://www.merdeka.com/politik/di-endorse-prabowo-di-pilkada-jateng-luthfi-sebagai-ketum-parpol-beliau-dukung-kami-232712-mvk.html
https://www.merdeka.com/politik/pro-kontra-prabowo-subianto-endorse-paslon-pilkada-serentak-2024-232884-mvk.html?page=3,https://www.merdeka.com/politik/pro-kontra-prabowo-subianto-endorse-paslon-pilkada-serentak-2024-232884-mvk.html
https://www.merdeka.com/politik/pro-kontra-prabowo-subianto-endorse-paslon-pilkada-serentak-2024-232884-mvk.html?page=3,https://www.merdeka.com/politik
https://www.merdeka.com/politik/pro-kontra-prabowo-subianto-endorse-paslon-pilkada-serentak-2024-232884-mvk.html?page=3,https://www.merdeka.com/politik/prabowo-terang-terangan-endorse-luthfi-yasin-andika-kami-juga-ingin-didukung-232724-mvk.html
https://www.merdeka.com/politik/pro-kontra-prabowo-subianto-endorse-paslon-pilkada-serentak-2024-232884-mvk.html?page=3,https://www.merdeka.com/politik/luhut-nyatakan-dukung-prabowo-di-pilpres-2024-ini-alasannya-84266-mvk.html
https://www.merdeka.com/politik/pro-kontra-prabowo-subianto-endorse-paslon-pilkada-serentak-2024-232884-mvk.html?page=3,https://www.merdeka.com/politik/kpu-buka-suara-soal-aksi-prabowo-terang-terangan-endorse-paslon-pilkada-serentak-2024-232719-mvk.html
https://www.merdeka.com/politik/presiden-prabowo-terang-terangan-endorse-ahmad-luthfi-taj-yasin-rakyat-jateng-saya-mohon-berilah-suaramu-232066-mvk.html,https://www.merdeka.com/politik/ridwan-kamil-jakarta-belum-ramah-buat-lansia-hingga-hewan-peliharaan-232067-mvk.html
https://www.merdeka.com/politik/presiden-prabowo-terang-terangan-endorse-ahmad-luthfi-taj-yasin-rakyat-jateng-saya-mohon-berilah-suaramu-232066-mvk.html,https://www.merdeka.com/politik/cerita-awal-mula-dan-alasan-prabowo-keluarkan-aturan-hapus-utang-umkm-232003-mvk.html
https://www.merdeka.com/politik/presiden-prabowo-terang-terangan-endorse-ahmad-luthfi-taj-yasin-rakyat-jateng-saya-mohon-berilah-suaramu-232066-mvk.html,https://www.merdeka.com/politik/amunisi-terakhir-jagoan-kim-plus-di-pilkada-2024-keluarkan-kartu-as-temui-prabowo-jokowi-228258-mvk.html
https://www.merdeka.com/politik/presiden-prabowo-terang-terangan-endorse-ahmad-luthfi-taj-yasin-rakyat-jateng-saya-mohon-berilah-suaramu-232066-mvk.html,https://www.merdeka.com/politik/kaesang-dukung-ahmad-luthfi-jadi-cagub-punya-kemampuan-majukan-jateng-172112-mvk.html
